type_chaussure,prix,adresse,image_link
Chaussures homme,25.000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138404_uploaded_image1_1737043207.jpg
Chaussures homme,25.000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138351_uploaded_image1_1737041315.jpg
Chaussures Berluti,25.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5137747_uploaded_image1_1737022857.jpg
Chaussures homme,25.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5136509_uploaded_image1_1736959053.jpg
Chaussures homme,13.000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5135921_uploaded_image1_1736938939.jpg
Chaussures homme,13.000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5135915_uploaded_image1_1736938739.jpg
Chaussures Adidas,17.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5134449_uploaded_image1_1736863836.jpg
Sandales homme,12.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5132974_uploaded_image1_1736786850.jpg
Chaussures Timberland,25.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5132407_uploaded_image1_1736767718.jpg
Baskets New Balance 5530,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5132086_uploaded_image1_1736754624.jpg
Chaussures Airforce 1,15.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131864_uploaded_image1_1736723911.jpg
Chaussures Adidas,25.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131862_uploaded_image1_1736723850.jpg
Chaussures Fourcand,20.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131860_uploaded_image1_1736723781.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131513_uploaded_image3_1736701278.jpeg
Baskets Air Jordan X Travis Scott,30.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5131158_uploaded_image1_1736681825.jpg
Chaussures homme,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5131114_uploaded_image1_1736677616.jpg
Chaussures homme,5.490,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5128910_uploaded_image1_1736524747.jpg
Chaussures homme,5.990,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5128903_uploaded_image1_1736524615.jpg
Sandales orthopédique Birkenstock,26.500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5085829_uploaded_image1_1733870021.jpg
Chaussures homme,18.000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5126030_uploaded_image1_1736374708.jpg
Chaussures hommes,15.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125958_uploaded_image1_1736370460.jpg
Chaussures hommes,25.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125957_uploaded_image1_1736370411.jpg
Chaussures hommes,25.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125952_uploaded_image1_1736370231.jpg
Mocassins homme,15.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125547_uploaded_image1_1736357092.jpg
Chaussures homme,20.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125228_uploaded_image1_1736345367.jpg
Chaussures homme,12.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125216_uploaded_image1_1736344781.jpg
Chaussures Nike Air,9.500,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5121454_uploaded_image1_1736165779.jpg
Baskets,15.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5120194_uploaded_image1_1736088678.jpg
Baskets Van Knu Skool,27.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5118084_uploaded_image1_1735934478.jpg
Baskets Nike Zoom,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5118064_uploaded_image1_1735933768.jpg
Baskets Nike SB Dunk Low Travis Scott,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5118035_uploaded_image1_1735932607.jpg
Chaussures homme,Prix.sur.demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5117275_uploaded_image1_1735903894.jpg
Chaussures homme,Prix.sur.demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5117274_uploaded_image1_1735903778.jpg
Chausse-pieds pliable,6.900,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5114842_uploaded_image1_1735751354.jpg
Chaussures air force 1,4.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113911_uploaded_image1_1735645385.jpg
Chaussures Louis Vuitton,7.000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5113905_uploaded_image1_1735645280.jpg
